City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Oktyabrskoye,RU,2021-06-03 03:06:34,43.0645,44.7417,53.74,93,100,10.51
146,Puerto Ayora,EC,2021-06-03 03:06:34,-0.7393,-90.3518,73.54,89,31,4.0
147,Chumikan,RU,2021-06-03 03:06:35,54.7183,135.315,44.2,80,91,8.14
148,Oriximina,BR,2021-06-03 03:06:35,-1.7656,-55.8661,74.91,91,31,3.71
149,Bereda,ES,2021-06-03 03:06:36,43.2686,-7.5406,52.0,100,98,1.05
150,Hithadhoo,MV,2021-06-03 03:06:37,-0.6,73.0833,83.86,67,51,18.79
151,Borogontsy,RU,2021-06-03 03:06:37,62.6683,131.1683,74.19,31,74,4.74
152,Horki,BY,2021-06-03 03:06:38,54.2861,30.9842,51.15,79,64,6.58
153,Severnyy-Kospashskiy,RU,2021-06-03 03:06:38,59.0925,57.8008,48.6,69,93,6.82
154,Korfovskiy,RU,2021-06-03 03:06:39,48.2183,135.0564,54.86,89,100,6.64
155,Kiri Buru,IN,2021-06-03 03:06:40,22.0833,85.35,88.99,48,14,4.36
156,Sao Luiz Gonzaga,BR,2021-06-03 03:03:53,-28.4083,-54.9608,56.3,88,80,5.17
157,Cururupu,BR,2021-06-03 03:06:41,-1.8283,-44.8683,73.87,98,18,2.62
158,Kaeo,NZ,2021-06-03 03:06:41,-35.1,173.7833,63.32,69,100,2.35
159,Bosanski Novi,BA,2021-06-03 03:06:42,45.0458,16.3803,49.62,88,20,2.01
160,Melita,CA,2021-06-03 03:06:43,49.2681,-100.9967,73.54,51,88,8.28
161,Ostrovnoy,RU,2021-06-03 03:06:43,68.0531,39.5131,56.84,61,1,16.02
162,Palmer,US,2021-06-03 03:06:44,42.1584,-72.3287,66.81,76,90,3.0
163,Salta,AR,2021-06-03 03:04:42,-24.7859,-65.4117,55.58,81,1,1.01
164,Mitzic,GA,2021-06-03 03:02:12,0.7821,11.549,66.24,99,43,2.68
165,Mar Del Plata,AR,2021-06-03 03:06:45,-38.0023,-57.5575,49.12,15,100,5.01
166,Saskylakh,RU,2021-06-03 03:06:46,71.9167,114.0833,38.59,70,100,14.23
167,Tuktoyaktuk,CA,2021-06-03 03:06:47,69.4541,-133.0374,38.59,68,14,13.8
168,Shelopugino,RU,2021-06-03 03:06:47,51.6514,117.5599,59.38,57,45,10.98
169,Pocoes,BR,2021-06-03 03:06:48,-14.5297,-40.3653,60.76,97,20,4.07
170,Lagoa,PT,2021-06-03 03:06:48,39.05,-27.9833,59.4,68,49,6.87
171,Aguimes,ES,2021-06-03 03:06:49,27.9054,-15.4461,65.03,63,75,13.8
172,Souillac,MU,2021-06-03 03:06:50,-20.5167,57.5167,75.36,68,76,19.28
173,Grand Gaube,MU,2021-06-03 03:06:50,-20.0064,57.6608,75.38,68,49,7.0
174,Natal,BR,2021-06-03 03:04:02,-5.795,-35.2094,72.25,94,0,8.88
175,Gat,IL,2021-06-03 03:06:04,31.61,34.7642,66.4,67,0,3.22
176,Yarada,IN,2021-06-03 03:06:52,17.65,83.2667,86.32,79,20,8.63
177,Kenai,US,2021-06-03 03:05:14,60.5544,-151.2583,55.02,71,72,9.98
178,Nabire,ID,2021-06-03 03:06:53,-3.3667,135.4833,81.86,84,40,2.66
179,Narsaq,GL,2021-06-03 03:06:53,60.9167,-46.05,43.02,89,100,4.81
180,Kattivakkam,IN,2021-06-03 03:06:54,13.2167,80.3167,88.07,81,39,11.79
