,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Kanniyakumari,IN,8.0833,77.5667,82.2,78,96,19.98,overcast clouds
172,Srednekolymsk,RU,67.45,153.6833,59.68,34,3,7.67,clear sky
173,Loubomo,CG,-4.1997,12.6739,72.61,89,63,2.59,broken clouds
174,Bengkulu,ID,-3.8004,102.2655,82.85,66,53,2.59,broken clouds
175,Omboue,GA,-1.5746,9.2618,75.96,90,100,4.94,overcast clouds
176,Wagrowiec,PL,52.8084,17.1996,63.82,87,100,3.36,overcast clouds
177,Novoagansk,RU,61.9449,76.6625,59.56,69,100,8.99,overcast clouds
178,Cidreira,BR,-30.1811,-50.2056,53.13,66,64,12.53,broken clouds
179,Kedrovyy,RU,56.1667,91.8167,57.61,36,56,7.83,broken clouds
180,Lompoc,US,34.6391,-120.4579,69.1,74,1,16.11,haze
181,Belozerskoye,RU,55.8214,65.5842,62.58,54,3,0.81,clear sky
182,High Prairie,CA,55.4334,-116.4858,61.9,59,69,2.46,broken clouds
183,Iqaluit,CA,63.7506,-68.5145,32.7,86,40,15.01,scattered clouds
184,Huarmey,PE,-10.0681,-78.1522,65.35,87,11,7.9,few clouds
185,Tezu,IN,27.9167,96.1667,85.33,67,100,0.96,overcast clouds
186,Provideniya,RU,64.3833,-173.3,40.53,92,100,11.32,overcast clouds
187,Murovane,UA,49.5214,22.9367,57.58,84,75,4.5,broken clouds
188,Kargil,IN,34.5667,76.1,52.97,48,7,3.2,clear sky
189,Alofi,NU,-19.0595,-169.9187,76.89,53,63,19.57,broken clouds
190,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,16.11,scattered clouds
191,Wahiawa,US,21.5028,-158.0236,80.92,72,90,4.61,overcast clouds
192,Kavaratti,IN,10.5669,72.642,84.09,76,97,19.33,overcast clouds
193,Dingle,PH,10.9995,122.6711,83.53,76,100,5.01,moderate rain
194,Verkhoyansk,RU,67.5447,133.385,61.68,44,100,17.72,overcast clouds
195,Rayachoti,IN,14.05,78.75,84.34,53,87,20.02,overcast clouds
196,Zhoucheng,CN,35.9122,116.3117,94.8,35,100,10.6,overcast clouds
197,Hay River,CA,60.8156,-115.7999,49.14,94,91,2.84,light rain
198,Moju,BR,-1.8839,-48.7689,77.07,99,100,0.65,light rain
199,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,65.01,97,89,0.78,overcast clouds
200,Leshukonskoye,RU,64.8989,45.7622,67.86,43,9,5.77,clear sky
201,Faanui,PF,-16.4833,-151.75,78.24,82,53,15.86,broken clouds
202,Storsteinnes,NO,69.2408,19.2344,54.25,96,100,2.62,light rain
203,Husavik,IS,66.0449,-17.3389,37.31,97,100,21.36,overcast clouds
204,Sept-Iles,CA,50.2001,-66.3821,51.06,77,75,6.91,broken clouds
205,Makokou,GA,0.5738,12.8642,69.44,99,93,2.51,light rain
206,Acapulco,MX,16.8634,-99.8901,80.69,78,100,2.55,overcast clouds
207,Mecca,SA,21.4267,39.8261,86.77,30,27,2.19,scattered clouds
208,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,3.2,overcast clouds
209,Kaitangata,NZ,-46.2817,169.8464,53.92,68,6,1.83,clear sky
210,Warmbad,NA,-28.45,18.7333,63.57,27,49,7.45,scattered clouds
211,Saint Anthony,US,45.0205,-93.218,80.53,55,75,1.99,broken clouds
212,Bara,NG,10.3744,10.7288,78.93,75,99,4.68,overcast clouds
213,Uray,RU,60.1247,64.7758,66.52,46,46,8.9,scattered clouds
214,Souillac,MU,-20.5167,57.5167,75.58,73,75,13.8,broken clouds
215,Vallenar,CL,-28.5708,-70.7581,62.6,32,5,3.2,clear sky
216,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,58,0,14.97,clear sky
217,Hambantota,LK,6.1241,81.1185,83.64,71,100,19.06,overcast clouds
218,Maxixe,MZ,-23.8597,35.3472,63.45,89,44,5.26,scattered clouds
219,Mae Tha,TH,18.4646,99.1403,82.99,88,100,3.2,overcast clouds
220,Saint-Pierre,RE,-21.3393,55.4781,71.56,81,0,3.44,clear sky
221,Porto Murtinho,BR,-21.6989,-57.8825,57.96,81,28,4.29,scattered clouds
222,Linqiong,CN,30.4159,103.4609,79.79,77,100,1.28,overcast clouds
223,Tecolutla,MX,20.4833,-97.0167,78.6,75,91,6.2,overcast clouds
224,Nador,MA,35.174,-2.9287,71.67,88,75,3.44,broken clouds
225,Talnakh,RU,69.4865,88.3972,34.3,100,100,4.72,light rain
226,Korem,ET,12.5058,39.5228,60.6,24,96,5.26,overcast clouds
227,Rafaela,AR,-31.2503,-61.4867,55.06,74,0,1.99,clear sky
228,Fort Nelson,CA,58.8053,-122.7002,54.99,76,75,5.75,light rain
229,Kidal,ML,18.4411,1.4078,90.36,20,1,2.48,clear sky
230,Khorixas,NA,-20.3667,14.9667,61.32,28,41,15.14,scattered clouds
231,San Patricio,US,28.017,-97.5169,82.85,86,5,11.5,clear sky
232,Rehoboth,NA,-23.3167,17.0833,52.93,38,12,8.1,few clouds
233,Beringovskiy,RU,63.05,179.3167,37.27,93,100,3.6,overcast clouds
234,Honningsvag,NO,70.9821,25.9704,49.59,100,100,3.36,light rain
235,Nyurba,RU,63.2842,118.3319,59.76,33,56,10,broken clouds
236,Honiara,SB,-9.4333,159.95,87.04,60,16,8.21,few clouds
237,Agadir,MA,30.4202,-9.5982,63.05,71,2,2.46,clear sky
