City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Half Moon Bay,US,70.59,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
347,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
348,Dossor,KZ,76.05,broken clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
355,Takoradi,GH,78.66,overcast clouds,4.8845,-1.7554,Raybow International Hotel
357,Saint-Joseph,RE,70.47,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
360,Griffith,US,82.51,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
365,Zhangjiakou,CN,78.89,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
370,Srivardhan,IN,81.93,heavy intensity rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
375,Bijie,CN,73.42,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
379,Excelsior Springs,US,74.28,scattered clouds,39.3392,-94.2261,The Elms Hotel & Spa
381,Thomaston,US,74.75,clear sky,32.8882,-84.3266,Days Inn by Wyndham Thomaston
382,Loandjili,CG,76.3,light rain,-4.7561,11.8578,Résidence ARCHANGE
383,Bixby,US,82.51,broken clouds,35.942,-95.8833,Shadow Valley Community
384,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
386,Nisia Floresta,BR,75.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
387,Canoa,DO,76.69,broken clouds,18.355,-71.1585,Col julia
388,Rockhampton,AU,73.29,clear sky,-23.3833,150.5,Mercure Rockhampton
390,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
392,Marawi,PH,73.09,overcast clouds,7.9986,124.2928,Derogongan Residence
395,Paragominas,BR,70.79,moderate rain,-2.9667,-47.4833,INOVA
397,Karad,IN,74.46,overcast clouds,17.2833,74.2,Hotel Sugam Lodging
411,Hailar,CN,79.5,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
413,Huntley,US,80.15,few clouds,42.1681,-88.4281,Suites On Main
416,Coruripe,BR,72.9,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
420,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
426,Yulara,AU,73.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
428,Akdepe,TM,77.09,scattered clouds,42.0551,59.3788,Мой дом
433,Roebourne,AU,73.11,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
434,Sabha,LY,74.44,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
437,Pimenta Bueno,BR,70.95,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
439,Harper,LR,77.36,broken clouds,4.375,-7.7169,Screensaver
442,Kutum,SD,77.63,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
446,Jinchang,CN,80.29,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
447,Poum,NC,76.39,overcast clouds,-20.2333,164.0167,Gîte kajeon
448,Izumo,JP,76.95,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
449,Ciudad Valles,MX,76.06,overcast clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
450,Emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
451,Funadhoo,MV,83.12,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
453,Buchanan,LR,75.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
457,Riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
460,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
461,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
466,Acarau,BR,76.05,clear sky,-2.8856,-40.12,castelo pizzaria
467,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
468,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
470,Puerto Penasco,MX,81.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
471,Victoria,HK,82.96,heavy intensity rain,22.2855,114.1577,Mini Hotel Central
473,Naze,JP,81.52,light rain,28.3667,129.4833,奄美ポートタワーホテル
479,Korla,CN,80.71,scattered clouds,41.7597,86.1469,Gulisitan Hotel
482,Starkville,US,76.66,broken clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
484,Kilindoni,TZ,78.51,clear sky,-7.9139,39.6668,Bustani B&B
485,Kamaishi,JP,77.95,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
488,Lianzhou,CN,84.97,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
489,Iracoubo,GF,75.33,heavy intensity rain,5.4802,-53.2011,Le Gite D Iracoubo
494,Shahrud,IR,74.28,clear sky,36.4182,54.9763,Royal Hotel
498,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
499,Morro Bay,US,76.39,clear sky,35.3658,-120.8499,Inn at Morro Bay
500,Mabaruma,GY,73.4,few clouds,8.2,-59.7833,Monty Brooms Guest House
502,Lashio,MM,70.66,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
503,Hinganghat,IN,76.41,overcast clouds,20.5667,78.8333,Ravindra Lokhande
504,Oussouye,SN,79.23,light rain,12.485,-16.5469,Auberge du Routard
508,Vega De Alatorre,MX,78.44,overcast clouds,20.0333,-96.6333,El Polo Norte
510,Humberto De Campos,BR,74.08,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
514,Banjarmasin,ID,82.54,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
515,Albox,ES,77.45,clear sky,37.3886,-2.1495,Steve Conroy Los Olivos
517,Lamu,KE,75.42,clear sky,-2.2717,40.902,Lamu House
520,Cabatuan,PH,83.14,moderate rain,10.8794,122.486,ROREM'S BOARDING HOUSE
521,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
522,Bubaque,GW,80.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
524,Sao Jose Da Coroa Grande,BR,74.17,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
526,Neftcala,AZ,74.35,clear sky,39.3742,49.2472,Otel restoran
527,Puerto Escondido,MX,75.54,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
528,Karratha,AU,72.16,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
535,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
536,Atambua,ID,83.48,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
537,Shenjiamen,CN,76.12,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
545,Datong,CN,74.44,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
550,Port-Gentil,GA,78.57,light rain,-0.7193,8.7815,Fengshui Residence
552,Suez,EG,73.76,clear sky,29.9737,32.5263,Green House
554,Bandarbeyla,SO,79.84,overcast clouds,9.4942,50.8122,JABIR HOTEL
555,Lagunas,PE,72.39,few clouds,-5.2269,-75.6753,Hospedaje Eco
560,Sedalia,US,79.84,clear sky,38.7045,-93.2283,Best Western State Fair Inn
561,Beatrice,US,76.17,overcast clouds,40.2681,-96.747,Victorian Inn Beatrice
563,Mae Hong Son,TH,78.94,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
564,Trairi,BR,76.51,broken clouds,-3.2778,-39.2689,janelas do mar
567,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
569,Bonoua,CI,76.62,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
570,Tuensang,IN,80.56,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
575,Burla,IN,81.34,overcast clouds,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
576,Cardenas,CU,75.96,overcast clouds,23.0375,-81.2047,Casa JF 1906
577,Changchun,CN,82.36,scattered clouds,43.88,125.3228,金安大酒店
584,Calabozo,VE,75.06,broken clouds,8.9242,-67.4293,Hotel Giardini
589,Abu Kamal,SY,72.77,clear sky,34.4506,40.9171,محطة التلفاز
591,Hajipur,IN,78.78,mist,25.6833,85.2167,Circuit House
592,Hobyo,SO,77.02,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
594,Vaitape,PF,78.17,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
595,Maragogipe,BR,75.25,clear sky,-12.7778,-38.9194,Villa Carmelito
597,Marsa Matruh,EG,71.8,scattered clouds,31.3525,27.2453,Beau Site
602,Erenhot,CN,81.32,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
603,Kulhudhuffushi,MV,83.05,overcast clouds,6.6221,73.07,Haajy Guest House 1
604,Kaiyuan,CN,75.58,overcast clouds,23.6977,103.3037,Dongqi Hotel
609,Cabinda,AO,75.79,scattered clouds,-5.55,12.2,Hotel Maiombe
611,Bacolod,PH,83.71,very heavy rain,10.6667,122.95,Planta Hotel & Residences
614,Athens,GR,70.25,few clouds,37.9795,23.7162,Novotel Athenes
615,Genhe,CN,81.41,scattered clouds,50.7833,121.5167,Companionship Hotel
618,Kandi,BJ,73.8,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
619,Lazaro Cardenas,MX,82.06,overcast clouds,17.9583,-102.2,quinta antigua
623,Bumba,CD,76.05,overcast clouds,2.1833,22.4667,Hôtel Cape Town
624,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
626,Alta Floresta,BR,76.35,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
627,Kopargaon,IN,81.01,broken clouds,19.8833,74.4833,Chanakya Mandal
629,Puttur,IN,80.71,overcast clouds,12.7667,75.2167,Hotel Super Tower
632,Santa Margherita Ligure,IT,70.72,clear sky,44.3346,9.212,Hotel Portofino
634,Dandong,CN,77.14,broken clouds,40.1292,124.3947,Yiranju Farmstay
636,Tucumcari,US,82.24,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
637,Birjand,IR,77.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
640,Kombissiri,BF,78.78,scattered clouds,12.0656,-1.3375,Mitibkieta Annexe
641,Edgewater,US,84.34,few clouds,28.9889,-80.9023,Islander Beach Resort
644,Bucerias,MX,84.18,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
645,Mapiripan,CO,72.72,scattered clouds,2.8892,-72.1256,Monserrate
647,Grand-Santi,GF,71.17,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
649,Bolgatanga,GH,79.05,overcast clouds,10.7856,-0.8514,Mama's Place
654,Camocim,BR,76.37,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
655,Parrita,CR,81.52,overcast clouds,9.5201,-84.3225,Beso del Viento
659,Laurinburg,US,79.02,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
663,Wewak,PG,84.99,clear sky,-3.5534,143.6268,In Wewak Boutique Hotel
664,Rock Sound,BS,79.68,scattered clouds,24.9,-76.2,Rock Sound Club
666,Lander,US,70.2,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
667,Virginia Beach,US,76.01,moderate rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
